date,category,title,amount
2020-06-03,serviços,Google Team17 Digital,5.49
2020-06-05,serviços,Crunchyroll,25
2020-06-10,,Pagamento recebido,-203.44
2020-06-13,eletrônicos,Dr.*Kaspersky,79.95
2020-06-17,serviços,Steamgames.Com,71.49
2020-06-17,,"IOF de ""Steamgames.Com""",4.56
2020-06-22,serviços,Ebanx*Spotify,16.9
2020-06-22,serviços,Google Tinder,29.99
2020-06-22,transporte,Uberbr Uber Trip Help.,14.54
2020-06-29,transporte,99* Pop 28jun 11h35min,26.86
2020-06-29,transporte,99* Pop 27jun 17h56min,27.88
2020-06-30,educação,Amazonprimebr,9.9
