date,category,title,amount
2020-09-03,serviços,Crunchyroll,25
2020-09-03,lazer,Pag*Boacompra 2/2,27.25
2020-09-03,serviços,Pag*Hannaferreiratatu 2/2,783.82
2020-09-03,serviços,Netflix.Com,32.9
2020-09-03,lazer,Pag*Boacompra 2/2,27.25
2020-09-10,,Pagamento recebido,-330.05
2020-09-11,educação,Dl*Googleniantic,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Dl *Google Niantic,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-18,,Pagamento recebido,-700
2020-09-19,serviços,Google Niantic Inc,1.9
2020-09-19,serviços,Steamgames.Com,14.6
2020-09-19,,IOF de "Steamgames.Com",0.93
2020-09-21,serviços,Ebanx*Spotify,16.9
2020-09-21,serviços,Google Niantic Inc,1.9
2020-09-28,serviços,Google Niantic Inc,1.9
2020-09-28,transporte,99* Pop 27set 18h45min,10.62
2020-09-28,,IOF de "Steamgames.Com",0.66
2020-09-28,serviços,Steamgames.Com,10.42
2020-09-28,,Pagamento recebido,-200
2020-09-29,,IOF de "Steam Purchase",11.2
2020-09-29,lazer,Steam Purchase,175.48
2020-09-30,educação,Amazonprimebr,9.9
