date,category,title,amount
2020-10-03,transporte,99* Pop 02out 10h28min,11.1
2020-10-03,serviços,Netflix.Com,32.9
2020-10-03,serviços,Crunchyroll,25
2020-10-13,saúde,Drogaria Pacheco,12.98
2020-10-13,,Pagamento recebido,-273.54
2020-10-16,serviços,Mdm Comercio*Lojajolte,189
2020-10-21,serviços,Ebanx*Spotify,16.9
2020-10-24,transporte,99* Pop 23out 17h12min,13.92
2020-10-26,transporte,99* Pop 24out 18h38min,20.8
2020-10-26,serviços,Dl *Google Niantic Inc,1.9
2020-10-27,eletrônicos,Google Niantic Inc,1.9
2020-10-27,eletrônicos,Google Niantic Inc,1.9
2020-10-27,eletrônicos,Google Niantic Inc,1.9
2020-10-30,educação,Amazonprimebr,9.9
2020-10-31,serviços,Microsoft*Store,1
2020-11-02,serviços,Crunchyroll,25
