date,category,title,amount
2020-08-03,serviços,Netflix.Com,32.9
2020-08-03,serviços,Google Niantic Inc,18.9
2020-08-04,serviços,Crunchyroll,25
2020-08-04,serviços,Google Niantic Inc,1.9
2020-08-06,serviços,Google Niantic Inc,1.9
2020-08-08,,IOF de "Ding",10.66
2020-08-08,serviços,Ding,167.1
2020-08-10,,Pagamento recebido,-269.15
2020-08-12,lazer,Pag*Boacompra 1/2,27.25
2020-08-12,lazer,Pag*Boacompra 1/2,27.25
2020-08-14,serviços,Pag*Hannaferreiratatu 1/2,783.83
2020-08-14,transporte,99* Pop 13ago 09h01min,17.6
2020-08-15,transporte,Uberbr Uber Trip Help.,20.26
2020-08-17,,Pagamento recebido,-800
2020-08-21,serviços,Ebanx*Spotify,16.9
2020-08-24,transporte,99* Pop 23ago 01h29min,101.74
2020-08-24,,Pagamento recebido,-200
2020-08-24,transporte,99* Pop 22ago 19h10min,9.9
2020-08-24,serviços,Servicos Cla*219687224,30
2020-08-31,,Pagamento recebido,-100
2020-09-01,educação,Amazonprimebr,9.9
2020-09-02,,IOF de "Steamgames.Com",7.62
2020-09-02,serviços,Steamgames.Com,119.44
