date,category,title,amount
2020-07-04,serviços,Netflix.Com,32.9
2020-07-06,outros,Ec*Alipay,108.68
2020-07-06,,IOF de "Steamgames.Com",2.15
2020-07-06,serviços,Crunchyroll,25
2020-07-06,serviços,Steamgames.Com,33.75
2020-07-07,lazer,Steamgames.Com,10.49
2020-07-07,,IOF de "Steamgames.Com",0.67
2020-07-10,,Pagamento recebido,-362.18
2020-07-10,restaurante,Ifood *Ifood,81.89
2020-07-13,outros,Ebanx *Alipay,39.49
2020-07-21,serviços,Ebanx*Spotify,16.9
2020-07-22,serviços,Servicos Cla*219687224,30
2020-07-24,,Pagamento recebido,-200
2020-07-30,serviços,Google Epsxe,9.47
2020-07-30,educação,Amazonprimebr,9.9
2020-08-01,serviços,Steamgames.Com,62
2020-08-01,serviços,Google Niantic Inc,1.9
2020-08-01,,IOF de "Steamgames.Com",3.96
